ts_iso,hot_fan_running,disch_agi_running,spinner_running,agitator1_running,agitator2_running,trace_chain_running,mill_running,disch_conv_running,load_conv_running,shaker_running,brush_running,burner_running,burner_high_running,hot_fan_speed,disch_agi_speed,spinner_speed,agitator1_speed,agitator2_speed,trace_chain_speed,temp_hotfan_motor,temp_burner,temp_product1,temp_product2,temp_exhaust,fan_proven,safety_ok
2026-06-04T07:26:13.728906+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,24.9,24.9,24.8,24.8,24.8,0,1
2026-06-04T07:26:18.735288+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,25.1,24.8,24.7,24.9,25.2,0,1
2026-06-04T07:26:23.746266+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,48.2,24.8,25.2,24.8,25.1,1,1
2026-06-04T07:26:28.751988+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,77.6,25.2,25.1,24.8,24.9,1,1
2026-06-04T07:26:33.759354+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,83.7,25.0,24.9,25.2,25.1,1,1
2026-06-04T07:26:38.764431+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,84.6,25.2,24.8,24.9,24.8,1,1
2026-06-04T07:26:43.772639+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,84.8,24.7,25.0,24.7,24.8,1,1
2026-06-04T07:26:48.777708+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,84.9,24.8,24.7,25.2,25.2,1,1
2026-06-04T07:26:53.783349+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,84.9,25.1,25.1,25.1,25.1,1,1
2026-06-04T07:26:58.791018+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,84.8,24.8,24.7,25.0,25.2,1,1
2026-06-04T07:27:03.799787+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,84.8,24.7,25.2,25.0,24.7,1,1
2026-06-04T07:27:08.808301+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,84.8,24.9,24.7,25.0,25.0,1,1
2026-06-04T07:27:13.817405+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,84.7,25.2,24.8,25.2,25.1,1,1
2026-06-04T07:27:18.822785+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,84.9,24.9,24.8,24.8,24.7,1,1
2026-06-04T07:27:23.828464+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,85.1,24.8,24.9,24.8,24.8,1,1
2026-06-04T07:27:28.834579+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,84.8,24.7,24.7,24.8,25.1,1,1
2026-06-04T07:27:33.834485+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,85.1,25.0,24.9,25.1,25.0,1,1
2026-06-04T07:27:38.840119+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,84.8,25.1,25.2,24.7,24.9,1,1
2026-06-04T07:27:43.848273+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,84.9,25.0,24.8,24.7,24.8,1,1
2026-06-04T07:27:48.853682+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,84.8,24.9,24.8,24.9,25.0,1,1
2026-06-04T07:27:53.858754+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,84.7,25.2,25.0,25.0,24.9,1,1
2026-06-04T07:27:58.865976+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,84.8,24.7,25.0,24.7,24.8,1,1
2026-06-04T07:28:03.873605+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,85.1,24.9,25.2,25.1,25.1,1,1
2026-06-04T07:28:08.880721+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,85.2,24.9,25.0,25.2,24.8,1,1
2026-06-04T07:28:13.885968+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,85.2,25.0,25.0,25.2,24.9,1,1
2026-06-04T07:28:18.893432+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,84.7,25.0,24.8,24.7,25.0,1,1
2026-06-04T07:28:23.897506+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,85.2,24.8,25.0,25.2,25.0,1,1
2026-06-04T07:28:28.902019+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,84.7,25.2,24.7,25.0,25.0,1,1
2026-06-04T07:28:33.910881+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,84.9,24.7,24.9,25.1,25.1,1,1
2026-06-04T07:28:38.918775+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,85.1,25.2,25.2,25.0,24.7,1,1
2026-06-04T07:28:43.925273+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,85.1,25.2,24.8,24.9,24.7,1,1
2026-06-04T07:28:48.931185+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,85.2,25.1,25.1,25.2,24.8,1,1
2026-06-04T07:28:53.933364+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,84.9,25.1,25.2,25.1,25.2,1,1
2026-06-04T07:28:58.940019+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,84.9,25.0,25.1,25.2,25.0,1,1
2026-06-04T07:29:03.946375+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,24.9,25.0,24.7,25.2,1,1
2026-06-04T07:29:08.952514+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,25.2,24.8,25.1,24.9,1,1
2026-06-04T07:29:13.956782+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,84.7,24.7,25.2,24.7,24.9,1,1
2026-06-04T07:29:18.963795+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,84.9,25.0,25.0,24.7,25.2,1,1
2026-06-04T07:29:23.971238+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,84.7,24.8,25.1,25.0,24.7,1,1
2026-06-04T07:29:28.975140+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,24.9,25.2,24.8,24.7,1,1
2026-06-04T07:29:33.978908+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,25.1,25.1,24.7,25.2,1,1
2026-06-04T07:29:38.987268+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,84.9,24.7,24.9,24.7,25.0,1,1
2026-06-04T07:29:43.994213+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,84.8,24.9,24.9,25.2,25.2,1,1
2026-06-04T07:29:48.999075+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,84.8,24.9,24.7,25.1,25.2,1,1
2026-06-04T07:29:54.004953+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,84.8,25.1,25.0,24.9,25.1,1,1
2026-06-04T07:29:59.010401+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,84.7,25.1,24.8,25.2,25.1,1,1
2026-06-04T07:30:04.015413+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,84.9,24.7,25.1,25.1,25.0,1,1
2026-06-04T07:30:09.019208+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,84.7,24.7,25.0,25.2,24.7,1,1
2026-06-04T07:30:14.023668+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,84.7,25.2,25.0,25.2,25.2,1,1
2026-06-04T07:30:19.029116+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,84.7,24.7,25.0,24.8,25.2,1,1
2026-06-04T07:30:24.034992+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,84.7,24.8,24.8,24.9,25.2,1,1
2026-06-04T07:30:29.042351+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,85.1,25.0,24.7,24.9,24.8,1,1
2026-06-04T07:30:34.049337+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,85.2,25.2,24.7,25.0,25.0,1,1
2026-06-04T07:30:39.055744+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,85.1,25.1,24.8,25.0,24.9,1,1
2026-06-04T07:30:44.069915+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,85.1,24.9,24.8,24.9,25.2,1,1
2026-06-04T07:30:49.075135+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,25.0,25.2,25.0,25.2,1,1
2026-06-04T07:30:54.079725+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,85.2,25.2,25.0,24.7,25.0,1,1
2026-06-04T07:30:59.091455+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,84.7,25.0,25.2,25.1,25.2,1,1
2026-06-04T07:31:04.099195+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,85.1,25.2,24.7,24.9,24.9,1,1
2026-06-04T07:31:09.107865+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,24.7,25.0,25.2,24.8,1,1
2026-06-04T07:31:14.115483+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,84.9,24.9,24.8,25.2,24.8,1,1
2026-06-04T07:31:19.122025+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,84.8,25.2,25.0,24.9,25.1,1,1
2026-06-04T07:31:24.129439+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,84.7,25.1,24.8,24.8,25.0,1,1
2026-06-04T07:31:29.138230+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,84.9,25.2,24.9,25.2,24.8,1,1
2026-06-04T07:31:34.144026+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,84.7,25.0,24.7,25.1,25.0,1,1
2026-06-04T07:31:39.149557+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,84.9,24.7,25.1,25.2,24.7,1,1
2026-06-04T07:31:44.156714+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,24.9,24.9,25.2,25.1,1,1
2026-06-04T07:31:49.162645+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,84.7,24.9,24.9,24.9,24.9,1,1
2026-06-04T07:31:54.171328+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,84.9,24.8,24.8,25.2,24.8,1,1
2026-06-04T07:31:59.175966+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,85.1,24.8,24.9,24.7,24.8,1,1
2026-06-04T07:32:04.183363+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,84.7,25.2,24.8,24.8,25.0,1,1
2026-06-04T07:32:09.186337+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,84.8,24.9,25.0,24.8,24.9,1,1
2026-06-04T07:32:14.189688+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,84.7,24.7,24.7,25.2,24.8,1,1
2026-06-04T07:32:19.193712+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,84.8,24.9,25.2,25.0,24.9,1,1
2026-06-04T07:32:24.202215+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,84.9,24.8,24.7,25.2,24.7,1,1
2026-06-04T07:32:29.214173+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,85.1,24.8,24.7,25.1,24.7,1,1
2026-06-04T07:32:34.221963+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,84.8,25.0,25.1,24.9,24.9,1,1
2026-06-04T07:32:39.230276+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,84.7,25.2,24.7,24.8,24.7,1,1
2026-06-04T07:32:44.236636+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,84.9,25.2,24.8,25.0,24.8,1,1
2026-06-04T07:32:49.249228+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,25.2,24.9,25.2,25.1,1,1
2026-06-04T07:32:54.259465+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,84.9,25.1,25.1,25.1,25.1,1,1
2026-06-04T07:32:59.271631+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,84.8,24.7,24.7,25.1,25.2,1,1
2026-06-04T07:33:04.281894+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,85.1,24.8,25.1,25.0,24.8,1,1
2026-06-04T07:33:09.291389+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,84.9,24.9,24.9,25.2,25.2,1,1
2026-06-04T07:33:14.298359+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,84.9,24.8,25.2,25.0,25.2,1,1
2026-06-04T07:33:18.807369+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,85.2,25.2,24.7,25.0,24.9,1,1
2026-06-04T07:33:23.816259+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,24.7,25.0,24.7,25.2,1,1
